premise,hypothesis,gold_label,pred_label
One letter writer to The Times [21 June 1988] ,A letter written at 5 in the morning on June 21st.,neutral,contradiction
"The passengers continued their assault and at 10:02:23, a hijacker said, Pull it down!",The assault by the passengers lasted for over 10 minutes.,neutral,entailment
I was a mistake.,"I wasn't meant to be a thing, you know; I was just a mistake that was let go into the world.",neutral,entailment
"Children who failed to grasp the kidnapper's motive and the reason for the arrest judged him to be  good,  not  bad. ",Kids who don't understand why kidnappers are doing what they are doing thought they were good because the guy was funny.,neutral,contradiction
Even on so small an island as Taiwan the Mandarin-speaking ex-mainlanders cannot converse with the Taiwanese-born majority who have not bothered to learn Mandarin.,The Taiwanese majority refuse to learn Mandarin despite it being mandatory in school curriculums.,neutral,contradiction
18 The advantage of using VMI programs stems from the retailer and manufacturer working together to determine a flow of shipments that optimizes the economics of the two parties as a system.,Many retailers work with foreign manufacturers in business.,neutral,entailment
"In practice, however, retail inventory management is fraught with challenges, such as long and uncertain order-fulfillment lead times, and errors in product identification and record keeping.","Retail inventory management has many problems, most of which still haven't been solved today.",neutral,entailment
Hand guns of the fourteenth century were equipped with touchholes; in order to discharge such a weapon it was necessary to touch it with a torch.,The touchhole was used in loading the gun as well.,neutral,entailment
"They enabled the passengers to gain critical information, including the news that two aircraft had slammed into the World Trade Center.",The passengers could gain critical information and contact loved ones.,neutral,entailment
"In the late 1990s, these extremist groups suffered major defeats by Kurdish forces.",Kurdish forces believed they needed to stop all extremist groups.,neutral,contradiction
New initiatives in the inner-city are taking hold.,We hope to have 100 inner-city mentors next year.,neutral,contradiction
"I would just scream and scream you know that, No, no, don't do that.","Please, whatever you do, don't do that; you know I would be screaming for hours, it's my greatest fear.",neutral,contradiction
The other aircraft referred to by New York Center was United 175.,"New York Center mentioned two aircrafts, including United 175.",neutral,entailment
"Uh, my mom took me for a it, um, doctor's visit uh, it was a physical.",My mom went into the doctor's examination room with me.,neutral,entailment
Cabin service would have begun.,Cabin service was disrupted by them.,neutral,contradiction
"Late last Spring, we established an account for the IGGS Scholarship to help defray the tuition costs for an undergraduate major in Geology at IUPUI.",This scholarship was a significant help to Geology students.,neutral,entailment
Machines are laid out in a manner that speeds up shuttling a bin of garment bundles from operator to operator.,The process was optimized to reach maximum efficiency.,neutral,entailment
"It is safe to say that lean retailers have also come out ahead, given their rapid growth in relation to, and at the expense of, traditional retailers in many different retail channels.",Traditional retailers were more profitable 35 years ago.,neutral,contradiction
The growth of private-label programs among retailers in the 1980s exemplifies this trend.,The private-label programs grew in the 1980's because of the internet.,neutral,contradiction
"An astute mother I observed in the grocery store had her 3-year-old son, Ricky, reach for items on the shelf and put them in the cart.",Ricky was interested only in the items he saw were colorful. ,neutral,contradiction
