premise,hypothesis,gold_label,pred_label
"Further, there is no universally accepted way to transliterate Arabic words and names into English.",Arabic words and names are easily translated.,contradiction,entailment
One letter writer to The Times [21 June 1988] ,A letter written at 5 in the morning on June 21st.,neutral,entailment
"That will only be the first step toward healing the pain of having been abandoned several times, neglected, and denied the happy childhood that should be every child's birthright.",No steps will be taken to help them overcome those abuses.,contradiction,entailment
"pogonip Another sure-fire dictionary  not a quick drink snatched while riding a bouncy stick, but a fog laden with particles of ice.","Instead of taking a drink while dancing on a bouncy stick, imbibe the air laden with droplets of rain.",contradiction,entailment
Let's look for Paua shells!,Let's look for sticks.,contradiction,entailment
"The passengers continued their assault and at 10:02:23, a hijacker said, Pull it down!",The assault by the passengers lasted for over 10 minutes.,neutral,entailment
I was a mistake.,"I wasn't meant to be a thing, you know; I was just a mistake that was let go into the world.",neutral,entailment
"Children who failed to grasp the kidnapper's motive and the reason for the arrest judged him to be  good,  not  bad. ",Kids who don't understand why kidnappers are doing what they are doing thought they were good because the guy was funny.,neutral,entailment
Even on so small an island as Taiwan the Mandarin-speaking ex-mainlanders cannot converse with the Taiwanese-born majority who have not bothered to learn Mandarin.,The Taiwanese majority refuse to learn Mandarin despite it being mandatory in school curriculums.,neutral,entailment
"In order to do this, laboratories must be developed and maintained with equipment that will provide first-rate, hands-on experience for our students.",Students do not need laboratory or hands-on experience for a good education.,contradiction,entailment
18 The advantage of using VMI programs stems from the retailer and manufacturer working together to determine a flow of shipments that optimizes the economics of the two parties as a system.,Many retailers work with foreign manufacturers in business.,neutral,entailment
It would be so damn foggy you could not see the yellow line on that divided highway in front of you and we to turn left out onto this highway.,We could clearly see the dividing line to turn right. ,contradiction,entailment
What kind of stories?,What type of jokes should i tell?,contradiction,entailment
"In practice, however, retail inventory management is fraught with challenges, such as long and uncertain order-fulfillment lead times, and errors in product identification and record keeping.","Retail inventory management has many problems, most of which still haven't been solved today.",neutral,entailment
"Supported by government grants, private foundations, and law firms",Government grants are not part of the funding equation.  ,contradiction,entailment
"In 1985 a group of courageous pioneering women established the YWCA of Indianapolis to meet the needs of women, and in 1998 the tradition continues.",The YMCA of Indianapolis was founded in 1998.,contradiction,entailment
"Some time later, I got still another version of MUSKRAT RAMBLE, with still another version of the title.","Not long after, my copy of MUSKRAT RAMBLE had been stolen.",contradiction,entailment
That kind of pawkiness is fitting in a dictionary edited and published in Edinburgh and which defines pawky as a Scots word meaning  drily or slyly humorous. ,Edinburgh never defined pawkiness in their published dictionary.,contradiction,entailment
So would a society.,A society would not.,contradiction,entailment
Hand guns of the fourteenth century were equipped with touchholes; in order to discharge such a weapon it was necessary to touch it with a torch.,The touchhole was used in loading the gun as well.,neutral,entailment
"However you choose to participate, I know you'll enjoy being a part of the Herron School of Art and Gallery.",You will detest the Herron School of Art and Gallery and have nothing to do with it.,contradiction,entailment
"They enabled the passengers to gain critical information, including the news that two aircraft had slammed into the World Trade Center.",The passengers could gain critical information and contact loved ones.,neutral,entailment
"Before 9/11, it was not unheard of for a commercial aircraft to deviate slightly from its course, or for an FAA controller to lose radio contact with a pilot for a short period of time.",Commercial airlines can change their route whenever they feel like it.,contradiction,entailment
"In the late 1990s, these extremist groups suffered major defeats by Kurdish forces.",Kurdish forces believed they needed to stop all extremist groups.,neutral,entailment
The flight attendants would have begun their cabin service.,The flight attendants already finished their cabin service for the morning.,contradiction,entailment
